rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1743876824.38,0.0,0.0,0.0,18.13.43,39.792235633,-86.238666083,0.0,,,,,,,,,1428.448,0.0,53559.0,332.0,702_202504_05_1812_06_0000974,,,0,0,0
1,1743876824.47,0.08999991416931152,0.0,0.0,18.13.43,39.792235633,-86.238666083,0.0,,,,,,,,,1428.448,0.0,53559.0,332.0,702_202504_05_1812_06_0000975,,,0,0,0
2,1743876824.57,0.18999981880187988,0.0,0.0,18.13.43,39.792235633,-86.238666083,0.0,,,,,,,,,1431.966,3.5179999999998017,53558.0,328.0,702_202504_05_1812_06_0000976,,,0,0,0
3,1743876824.67,0.28999996185302734,0.0,0.0,18.13.43,39.792235633,-86.238666083,0.0,,,,,,,,,1431.966,3.5179999999998017,53558.0,328.0,702_202504_05_1812_06_0000977,,,0,0,0
4,1743876824.78,0.39999985694885254,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,1431.966,3.5179999999998017,53558.0,328.0,702_202504_05_1812_06_0000978,,,0,0,0
5,1743876824.88,0.5,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,1431.966,3.5179999999998017,53558.0,328.0,702_202504_05_1812_06_0000979,,,0,0,0
6,1743876824.98,0.5999999046325684,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,6.909,-1421.539,53558.0,330.0,702_202504_05_1812_06_0000980,,,0,0,0
7,1743876825.07,0.6899998188018799,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,6.909,-1421.539,53558.0,330.0,702_202504_05_1812_06_0000981,,,0,0,0
8,1743876825.17,0.7899999618530273,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,10.423,-1418.025,53558.0,328.0,702_202504_05_1812_06_0000982,,,0,0,0
9,1743876825.27,0.8899998664855957,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,10.423,-1418.025,53558.0,328.0,702_202504_05_1812_06_0000983,,,0,0,0
10,1743876825.37,0.9899997711181641,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,17.111,-1411.337,53509.0,627.0,702_202504_05_1812_06_0000984,,,0,0,0
11,1743876825.47,1.0899999141693115,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,17.111,-1411.337,53509.0,627.0,702_202504_05_1812_06_0000985,,,0,0,0
12,1743876825.58,1.1999998092651367,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,25.858,-1402.5900000000001,53470.0,816.0,702_202504_05_1812_06_0000986,,,0,0,0
13,1743876825.68,1.2999999523162842,0.004627549524054103,0.004627549524054103,18.13.44,39.7922356,-86.23866605,0.0,,,,,,,,,25.858,-1402.5900000000001,53470.0,816.0,702_202504_05_1812_06_0000987,,,0,0,0
14,1743876825.77,1.3899998664855957,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,34.734,-1393.7140000000002,53466.0,827.0,702_202504_05_1812_06_0000988,,,0,0,0
15,1743876825.87,1.489999771118164,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,34.734,-1393.7140000000002,53466.0,827.0,702_202504_05_1812_06_0000989,,,0,0,0
16,1743876825.97,1.5899999141693115,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,43.747,-1384.701,53462.0,842.0,702_202504_05_1812_06_0000990,,,0,0,0
17,1743876826.08,1.6999998092651367,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,43.747,-1384.701,53462.0,842.0,702_202504_05_1812_06_0000991,,,0,0,0
18,1743876826.17,1.7899999618530273,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,64.924,-1363.5240000000001,53271.0,1995.0,702_202504_05_1812_06_0000992,,,0,0,0
19,1743876826.28,1.8999998569488525,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,64.924,-1363.5240000000001,53271.0,1995.0,702_202504_05_1812_06_0000993,,,0,0,0
20,1743876826.37,1.989999771118164,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,88.017,-1340.431,53224.0,2161.0,702_202504_05_1812_06_0000994,,,0,0,0
21,1743876826.47,2.0899999141693115,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,88.017,-1340.431,53224.0,2161.0,702_202504_05_1812_06_0000995,,,0,0,0
22,1743876826.57,2.18999981880188,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,111.314,-1317.134,53212.0,2189.0,702_202504_05_1812_06_0000996,,,0,0,0
23,1743876826.68,2.299999952316284,0.0074470329280125844,0.0074470329280125844,18.13.45,39.7922356,-86.238666017,0.0,,,,,,,,,111.314,-1317.134,53212.0,2189.0,702_202504_05_1812_06_0000997,,,0,0,0
24,1743876826.77,2.3899998664855957,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,134.604,-1293.844,53206.0,2198.0,702_202504_05_1812_06_0000998,,,0,0,0
25,1743876826.87,2.489999771118164,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,134.604,-1293.844,53206.0,2198.0,702_202504_05_1812_06_0000999,,,0,0,0
26,1743876826.97,2.5899999141693115,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,158.961,-1269.487,53187.0,2278.0,702_202504_05_1812_06_0001000,,,0,0,0
27,1743876827.07,2.68999981880188,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,158.961,-1269.487,53187.0,2278.0,702_202504_05_1812_06_0001001,,,0,0,0
28,1743876827.17,2.7899999618530273,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,183.246,-1245.202,53181.0,2283.0,702_202504_05_1812_06_0001002,,,0,0,0
29,1743876827.27,2.8899998664855957,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,183.246,-1245.202,53181.0,2283.0,702_202504_05_1812_06_0001003,,,0,0,0
30,1743876827.37,2.989999771118164,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,208.227,-1220.221,53162.0,2362.0,702_202504_05_1813_47_0000001,,,0,0,0
31,1743876827.47,3.0899999141693115,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,208.227,-1220.221,53162.0,2362.0,702_202504_05_1813_47_0000002,,,0,0,0
32,1743876827.58,3.1999998092651367,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,233.948,-1194.5,53150.0,2414.0,702_202504_05_1813_47_0000003,,,0,0,0
33,1743876827.67,3.2899999618530273,0.008899494222677188,0.008899494222677188,18.13.46,39.7922356,-86.238666,0.0,,,,,,,,,233.948,-1194.5,53150.0,2414.0,702_202504_05_1813_47_0000004,,,0,0,0
34,1743876827.77,3.3899998664855957,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,260.386,-1168.0620000000001,53136.0,2479.0,702_202504_05_1813_47_0000001,,,0,0,0
35,1743876827.88,3.5,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,260.386,-1168.0620000000001,53136.0,2479.0,702_202504_05_1813_47_0000002,,,0,0,0
36,1743876827.98,3.5999999046325684,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,287.476,-1140.9720000000002,53115.0,2549.0,702_202504_05_1813_47_0000003,,,0,0,0
37,1743876828.08,3.6999998092651367,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,287.476,-1140.9720000000002,53115.0,2549.0,702_202504_05_1813_47_0000004,,,0,0,0
38,1743876828.17,3.7899999618530273,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,315.016,-1113.432,53092.0,2604.0,702_202504_05_1813_47_0000005,,,0,0,0
39,1743876828.28,3.8999998569488525,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,315.016,-1113.432,53092.0,2604.0,702_202504_05_1813_47_0000006,,,0,0,0
40,1743876828.37,3.989999771118164,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,343.666,-1084.7820000000002,53073.0,2688.0,702_202504_05_1813_47_0000007,,,0,0,0
41,1743876828.47,4.0899999141693115,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,343.666,-1084.7820000000002,53073.0,2688.0,702_202504_05_1813_47_0000008,,,0,0,0
42,1743876828.57,4.18999981880188,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,372.64,-1055.808,53061.0,2729.0,702_202504_05_1813_47_0000009,,,0,0,0
43,1743876828.67,4.289999961853027,0.012568926710514102,0.012568926710514102,18.13.47,39.792235633,-86.238666,0.0,,,,,,,,,372.64,-1055.808,53061.0,2729.0,702_202504_05_1813_47_0000010,,,0,0,0
44,1743876828.78,4.3999998569488525,0.01661896257617667,0.01661896257617667,18.13.48,39.792235667,-86.238666017,0.0,,,,,,,,,402.288,-1026.16,53046.0,2808.0,702_202504_05_1813_47_0000011,,,0,0,0
45,1743876828.88,4.5,0.01661896257617667,0.01661896257617667,18.13.48,39.792235667,-86.238666017,0.0,,,,,,,,,402.288,-1026.16,53046.0,2808.0,702_202504_05_1813_47_0000012,,,0,0,0
46,1743876828.97,4.5899999141693115,0.01661896257617667,0.01661896257617667,18.13.48,39.792235667,-86.238666017,0.0,,,,,,,,,432.713,-995.7350000000001,53032.0,2862.0,702_202504_05_1813_47_0000013,,,0,0,0
47,1743876829.07,4.68999981880188,0.01661896257617667,0.01661896257617667,18.13.48,39.792235667,-86.238666017,0.0,,,,,,,,,432.713,-995.7350000000001,53032.0,2862.0,702_202504_05_1813_47_0000014,,,0,0,0
48,1743876829.17,4.789999961853027,0.01661896257617667,0.01661896257617667,18.13.48,39.792235667,-86.238666017,0.0,,,,,,,,,463.912,-964.5360000000001,53017.0,2933.0,702_202504_05_1813_47_0000015,,,0,0,0
