rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1743864194.46,0.0,0.0,0.0,14.43.13,39.792120167,-86.238591233,4.1,,,,,,,,,238.152,0.0,52849.0,183.0,702_202504_05_1441_02_0001324,,,0,0,0
1,1743864194.57,0.1099998950958252,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,240.103,1.9510000000000218,52850.0,185.0,702_202504_05_1441_02_0001325,,,0,0,0
2,1743864194.66,0.20000004768371582,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,240.103,1.9510000000000218,52850.0,185.0,702_202504_05_1441_02_0001326,,,0,0,0
3,1743864194.77,0.309999942779541,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,242.279,4.1270000000000095,52852.0,206.0,702_202504_05_1441_02_0001327,,,0,0,0
4,1743864194.87,0.4099998474121094,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,242.279,4.1270000000000095,52852.0,206.0,702_202504_05_1441_02_0001328,,,0,0,0
5,1743864194.96,0.5,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,242.279,4.1270000000000095,52852.0,206.0,702_202504_05_1441_02_0001329,,,0,0,0
6,1743864195.06,0.5999999046325684,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,242.279,4.1270000000000095,52852.0,206.0,702_202504_05_1441_02_0001330,,,0,0,0
7,1743864195.16,0.7000000476837158,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,4.294,-233.85799999999998,52850.0,209.0,702_202504_05_1441_02_0001331,,,0,0,0
8,1743864195.26,0.7999999523162842,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,4.294,-233.85799999999998,52850.0,209.0,702_202504_05_1443_15_0000001,,,0,0,0
9,1743864195.36,0.8999998569488525,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,6.496,-231.65599999999998,52851.0,209.0,702_202504_05_1443_15_0000002,,,0,0,0
10,1743864195.46,1.0,1.042020691070005,1.042020691070005,14.43.14,39.792124133,-86.238602283,4.0,,,,,,,,,6.496,-231.65599999999998,52851.0,209.0,702_202504_05_1443_15_0000003,,,0,0,0
11,1743864195.56,1.0999999046325684,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,8.764,-229.38799999999998,52850.0,213.0,702_202504_05_1443_15_0000004,,,0,0,0
12,1743864195.67,1.2100000381469727,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,8.764,-229.38799999999998,52850.0,213.0,702_202504_05_1443_15_0000001,,,0,0,0
13,1743864195.77,1.309999942779541,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,11.017,-227.135,52850.0,213.0,702_202504_05_1443_15_0000002,,,0,0,0
14,1743864195.86,1.3999998569488525,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,11.017,-227.135,52850.0,213.0,702_202504_05_1443_15_0000003,,,0,0,0
15,1743864195.96,1.5,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,13.262,-224.89,52850.0,213.0,702_202504_05_1443_15_0000004,,,0,0,0
16,1743864196.07,1.6099998950958252,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,13.262,-224.89,52850.0,213.0,702_202504_05_1443_15_0000005,,,0,0,0
17,1743864196.17,1.7100000381469727,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,15.535,-222.617,52848.0,213.0,702_202504_05_1443_15_0000006,,,0,0,0
18,1743864196.27,1.809999942779541,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,15.535,-222.617,52848.0,213.0,702_202504_05_1443_15_0000007,,,0,0,0
19,1743864196.37,1.9099998474121094,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,17.771,-220.38099999999997,52849.0,212.0,702_202504_05_1443_15_0000008,,,0,0,0
20,1743864196.46,2.0,2.1417444405071366,2.1417444405071366,14.43.15,39.792129183,-86.23861335,4.0,,,,,,,,,17.771,-220.38099999999997,52849.0,212.0,702_202504_05_1443_15_0000009,,,0,0,0
21,1743864196.56,2.0999999046325684,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,20.04,-218.112,52849.0,214.0,702_202504_05_1443_15_0000010,,,0,0,0
22,1743864196.66,2.200000047683716,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,20.04,-218.112,52849.0,214.0,702_202504_05_1443_15_0000011,,,0,0,0
23,1743864196.77,2.309999942779541,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,22.332,-215.82,52850.0,216.0,702_202504_05_1443_15_0000012,,,0,0,0
24,1743864196.87,2.4099998474121094,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,22.332,-215.82,52850.0,216.0,702_202504_05_1443_15_0000013,,,0,0,0
25,1743864196.97,2.509999990463257,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,24.588,-213.564,52848.0,214.0,702_202504_05_1443_15_0000014,,,0,0,0
26,1743864197.06,2.5999999046325684,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,24.588,-213.564,52848.0,214.0,702_202504_05_1443_15_0000015,,,0,0,0
27,1743864197.16,2.700000047683716,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,26.881,-211.271,52848.0,216.0,702_202504_05_1443_15_0000016,,,0,0,0
28,1743864197.26,2.799999952316284,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,26.881,-211.271,52848.0,216.0,702_202504_05_1443_15_0000017,,,0,0,0
29,1743864197.37,2.9099998474121094,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,29.108,-209.04399999999998,52849.0,210.0,702_202504_05_1443_15_0000018,,,0,0,0
30,1743864197.46,3.0,3.133522691207586,3.133522691207586,14.43.16,39.7921348,-86.238622367,3.9,,,,,,,,,29.108,-209.04399999999998,52849.0,210.0,702_202504_05_1443_15_0000019,,,0,0,0
31,1743864197.57,3.109999895095825,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,31.304,-206.84799999999998,52851.0,208.0,702_202504_05_1443_15_0000020,,,0,0,0
32,1743864197.66,3.200000047683716,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,31.304,-206.84799999999998,52851.0,208.0,702_202504_05_1443_15_0000021,,,0,0,0
33,1743864197.76,3.299999952316284,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,33.53,-204.62199999999999,52849.0,210.0,702_202504_05_1443_15_0000022,,,0,0,0
34,1743864197.87,3.4099998474121094,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,33.53,-204.62199999999999,52849.0,210.0,702_202504_05_1443_15_0000023,,,0,0,0
35,1743864197.96,3.5,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,35.788,-202.36399999999998,52850.0,213.0,702_202504_05_1443_15_0000024,,,0,0,0
36,1743864198.06,3.5999999046325684,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,35.788,-202.36399999999998,52850.0,213.0,702_202504_05_1443_15_0000025,,,0,0,0
37,1743864198.17,3.7100000381469727,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,38.039,-200.113,52849.0,213.0,702_202504_05_1443_15_0000026,,,0,0,0
38,1743864198.27,3.809999942779541,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,38.039,-200.113,52849.0,213.0,702_202504_05_1443_15_0000027,,,0,0,0
39,1743864198.37,3.9099998474121094,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,40.284,-197.868,52849.0,211.0,702_202504_05_1443_15_0000028,,,0,0,0
40,1743864198.46,4.0,4.190856893308567,4.190856893308567,14.43.17,39.792141967,-86.2386305,3.9,,,,,,,,,40.284,-197.868,52849.0,211.0,702_202504_05_1443_15_0000029,,,0,0,0
41,1743864198.57,4.109999895095825,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,42.575,-195.577,52847.0,216.0,702_202504_05_1443_15_0000030,,,0,0,0
42,1743864198.66,4.200000047683716,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,42.575,-195.577,52847.0,216.0,702_202504_05_1443_15_0000031,,,0,0,0
43,1743864198.76,4.299999952316284,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,44.796,-193.356,52849.0,211.0,702_202504_05_1443_15_0000032,,,0,0,0
44,1743864198.86,4.3999998569488525,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,44.796,-193.356,52849.0,211.0,702_202504_05_1443_15_0000033,,,0,0,0
45,1743864198.96,4.5,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,47.043,-191.10899999999998,52849.0,211.0,702_202504_05_1443_15_0000034,,,0,0,0
46,1743864199.06,4.599999904632568,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,47.043,-191.10899999999998,52849.0,211.0,702_202504_05_1443_15_0000035,,,0,0,0
47,1743864199.16,4.700000047683716,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,49.229,-188.923,52848.0,206.0,702_202504_05_1443_15_0000036,,,0,0,0
48,1743864199.27,4.809999942779541,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,49.229,-188.923,52848.0,206.0,702_202504_05_1443_15_0000037,,,0,0,0
49,1743864199.37,4.909999847412109,5.335604133433867,5.335604133433867,14.43.18,39.792149967,-86.238638933,3.8,,,,,,,,,51.451,-186.701,52849.0,211.0,702_202504_05_1443_15_0000038,,,0,0,0
