rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1743948259.79,0.0,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,6.0,-22.0,702_202504_06_1404_01_0000179,,,0,0,0
1,1743948259.88,0.09000015258789062,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,6.0,-22.0,702_202504_06_1404_01_0000180,,,0,0,0
2,1743948259.98,0.19000005722045898,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_01_0000181,,,0,0,0
3,1743948260.09,0.2999999523162842,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_01_0000182,,,0,0,0
4,1743948260.19,0.40000009536743164,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_01_0000183,,,0,0,0
5,1743948260.29,0.5,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_01_0000184,,,0,0,0
6,1743948260.39,0.6000001430511475,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,10.0,-20.0,702_202504_06_1404_01_0000185,,,0,0,0
7,1743948260.49,0.7000000476837158,0.0,0.0,14.04.19,39.792206617,-86.238470983,2.9,,,,,,,,,0.0,0.0,10.0,-20.0,702_202504_06_1404_01_0000186,,,0,0,0
8,1743948260.59,0.7999999523162842,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,7.0,-17.0,702_202504_06_1404_01_0000187,,,0,0,0
9,1743948260.69,0.9000000953674316,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,7.0,-17.0,702_202504_06_1404_01_0000188,,,0,0,0
10,1743948260.78,0.9900000095367432,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,6.0,-23.0,702_202504_06_1404_01_0000189,,,0,0,0
11,1743948260.88,1.0900001525878906,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,6.0,-23.0,702_202504_06_1404_01_0000190,,,0,0,0
12,1743948260.99,1.2000000476837158,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,6.0,-20.0,702_202504_06_1404_01_0000191,,,0,0,0
13,1743948261.09,1.2999999523162842,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,6.0,-20.0,702_202504_06_1404_01_0000192,,,0,0,0
14,1743948261.19,1.4000000953674316,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,8.0,-21.0,702_202504_06_1404_01_0000193,,,0,0,0
15,1743948261.29,1.5,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,8.0,-21.0,702_202504_06_1404_01_0000194,,,0,0,0
16,1743948261.39,1.6000001430511475,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,7.0,-20.0,702_202504_06_1404_01_0000195,,,0,0,0
17,1743948261.48,1.690000057220459,0.9930841681019698,0.9930841681019698,14.04.20,39.79219995,-86.238478717,3.0,,,,,,,,,0.0,0.0,7.0,-20.0,702_202504_06_1404_01_0000196,,,0,0,0
18,1743948261.59,1.7999999523162842,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,9.0,-22.0,702_202504_06_1404_01_0000197,,,0,0,0
19,1743948261.69,1.9000000953674316,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,9.0,-22.0,702_202504_06_1404_01_0000198,,,0,0,0
20,1743948261.79,2.0,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-23.0,702_202504_06_1404_01_0000199,,,0,0,0
21,1743948261.89,2.1000001430511475,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-23.0,702_202504_06_1404_01_0000200,,,0,0,0
22,1743948261.98,2.190000057220459,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-23.0,702_202504_06_1404_01_0000201,,,0,0,0
23,1743948262.09,2.299999952316284,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-23.0,702_202504_06_1404_01_0000202,,,0,0,0
24,1743948262.19,2.4000000953674316,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,7.0,-24.0,702_202504_06_1404_01_0000203,,,0,0,0
25,1743948262.29,2.5,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,7.0,-24.0,702_202504_06_1404_01_0000204,,,0,0,0
26,1743948262.39,2.6000001430511475,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-19.0,702_202504_06_1404_01_0000205,,,0,0,0
27,1743948262.49,2.700000047683716,2.0484276935862193,2.0484276935862193,14.04.21,39.792193617,-86.238487917,3.1,,,,,,,,,0.0,0.0,8.0,-19.0,702_202504_06_1404_01_0000206,,,0,0,0
28,1743948262.59,2.799999952316284,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,9.0,-23.0,702_202504_06_1404_01_0000207,,,0,0,0
29,1743948262.69,2.9000000953674316,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,9.0,-23.0,702_202504_06_1404_01_0000208,,,0,0,0
30,1743948262.79,3.0,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,8.0,-22.0,702_202504_06_1404_01_0000209,,,0,0,0
31,1743948262.88,3.0900001525878906,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,8.0,-22.0,702_202504_06_1404_01_0000210,,,0,0,0
32,1743948262.99,3.200000047683716,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_22_0000001,,,0,0,0
33,1743948263.09,3.299999952316284,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,7.0,-21.0,702_202504_06_1404_22_0000002,,,0,0,0
34,1743948263.18,3.390000104904175,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,6.0,-20.0,702_202504_06_1404_22_0000003,,,0,0,0
35,1743948263.29,3.5,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,6.0,-20.0,702_202504_06_1404_22_0000004,,,0,0,0
36,1743948263.39,3.6000001430511475,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,4.0,-19.0,702_202504_06_1404_22_0000005,,,0,0,0
37,1743948263.48,3.690000057220459,3.1539362245393363,3.1539362245393363,14.04.22,39.792187933,-86.238498533,3.1,,,,,,,,,0.0,0.0,4.0,-19.0,702_202504_06_1404_22_0000006,,,0,0,0
38,1743948263.59,3.799999952316284,4.292209895475085,4.292209895475085,14.04.23,39.792182967,-86.238510183,3.2,,,,,,,,,0.0,0.0,8.0,-24.0,702_202504_06_1404_22_0000007,,,0,0,0
39,1743948263.69,3.9000000953674316,4.292209895475085,4.292209895475085,14.04.23,39.792182967,-86.238510183,3.2,,,,,,,,,0.0,0.0,8.0,-24.0,702_202504_06_1404_22_0000008,,,0,0,0
40,1743948263.79,4.0,4.292209895475085,4.292209895475085,14.04.23,39.792182967,-86.238510183,3.2,,,,,,,,,0.0,0.0,7.0,-20.0,702_202504_06_1404_22_0000009,,,0,0,0
